sale_id,date,product_id,quantity
S00337,2026-07-30,P002,2
S00338,2026-08-03,P005,5
S00339,2026-07-05,P007,4
S00340,2026-07-31,P004,4
S00341,2026-08-10,P003,4
S00342,2026-06-25,P010,5
S00343,2026-06-18,P002,3
S00344,2026-07-24,P006,5
S00345,2026-07-05,P001,3
S00346,2026-07-09,P010,5
S00347,2026-08-24,P008,2
S00348,2026-07-28,P009,4
S00349,2026-07-15,P006,5
S00350,2026-08-09,P007,4
S00351,2026-07-12,P004,2
S00352,2026-08-13,P007,2
S00353,2026-07-23,P001,3
S00354,2026-07-31,P007,4
S00355,2026-08-24,P003,4
S00356,2026-06-05,P003,5
S00357,2026-08-15,P006,1
S00358,2026-07-27,P002,5
S00359,2026-07-29,P001,2
S00360,2026-07-23,P003,1
S00361,2026-07-31,P005,3
S00362,2026-08-19,P007,1
S00363,2026-07-13,P009,4
S00364,2026-07-11,P008,5
S00365,2026-06-05,P010,1
S00366,2026-07-01,P005,2
S00367,2026-06-12,P007,1
S00368,2026-08-21,P002,4
S00369,2026-06-22,P005,1
S00370,2026-06-06,P006,1
S00371,2026-07-08,P006,3
S00372,2026-07-26,P003,2
S00373,2026-08-07,P007,5
S00374,2026-08-27,P003,2
S00375,2026-06-23,P002,5
S00376,2026-07-19,P010,2
S00377,2026-08-03,P010,2
S00378,2026-06-30,P008,3
S00379,2026-07-29,P005,1
S00380,2026-07-30,P005,5
S00381,2026-06-21,P002,4
S00382,2026-07-15,P010,3
S00383,2026-08-21,P007,3
S00384,2026-07-29,P005,2
S00385,2026-07-20,P008,1
S00386,2026-07-01,P007,5
S00387,2026-07-16,P010,3
S00388,2026-08-29,P005,1
S00389,2026-08-24,P007,3
S00390,2026-06-02,P010,1
S00391,2026-08-17,P008,3
S00392,2026-06-30,P010,3
S00393,2026-06-29,P004,5
S00394,2026-07-03,P003,1
S00395,2026-08-20,P001,3
S00396,2026-07-27,P001,5
S00397,2026-07-17,P003,1
S00398,2026-07-08,P006,4
S00399,2026-06-23,P004,2
S00400,2026-08-09,P006,5
S00401,2026-08-04,P005,2
S00402,2026-07-03,P008,3
S00403,2026-07-14,P002,4
S00404,2026-06-10,P003,2
S00405,2026-08-26,P007,5
S00406,2026-07-17,P002,4
S00407,2026-06-02,P005,5
S00408,2026-06-16,P008,3
S00409,2026-08-26,P005,5
S00410,2026-07-19,P006,1
S00411,2026-08-26,P004,4
S00412,2026-06-04,P010,5
S00413,2026-07-12,P010,2
S00414,2026-08-22,P002,4
S00415,2026-08-29,P005,4
S00416,2026-06-15,P003,1
S00417,2026-06-05,P005,4
S00418,2026-06-15,P002,2
S00419,2026-08-08,P003,4
S00420,2026-07-29,P006,5
S00421,2026-07-24,P010,2
S00422,2026-07-24,P002,4
S00423,2026-08-18,P007,3
S00424,2026-06-05,P006,2
S00425,2026-07-27,P008,2
S00426,2026-07-17,P002,3
S00427,2026-08-09,P006,1
S00428,2026-07-21,P005,2
S00429,2026-06-16,P008,1
S00430,2026-08-24,P004,5
S00431,2026-06-03,P001,3
S00432,2026-07-02,P003,5
S00433,2026-06-27,P002,5
S00434,2026-06-27,P010,2
S00435,2026-06-30,P006,2
S00436,2026-08-16,P001,3
S00437,2026-06-19,P003,5
S00438,2026-07-03,P003,1
S00439,2026-08-24,P001,2
S00440,2026-06-02,P006,2
S00441,2026-08-15,P006,1
S00442,2026-06-23,P005,1
S00443,2026-06-17,P007,5
S00444,2026-06-15,P002,4
S00445,2026-07-28,P006,5
S00446,2026-08-15,P002,4
S00447,2026-08-04,P004,5
S00448,2026-06-06,P009,3
S00449,2026-07-29,P001,1
S00450,2026-08-01,P007,4
S00451,2026-08-27,P002,4
S00452,2026-07-27,P002,1
S00453,2026-07-12,P010,2
S00454,2026-06-09,P003,3
S00455,2026-08-19,P010,5
S00456,2026-07-12,P007,5
S00457,2026-08-07,P005,4
S00458,2026-08-04,P010,4
S00459,2026-06-13,P002,5
S00460,2026-06-28,P007,4
S00461,2026-06-30,P007,3
S00462,2026-07-29,P007,4
S00463,2026-06-13,P006,4
S00464,2026-07-11,P005,3
S00465,2026-06-20,P008,1
S00466,2026-06-12,P002,1
S00467,2026-07-26,P002,3
S00468,2026-06-17,P009,1
S00469,2026-08-15,P009,5
S00470,2026-07-13,P002,4
S00471,2026-07-16,P007,1
S00472,2026-07-07,P010,3
S00473,2026-07-16,P002,5
S00474,2026-08-04,P004,2
S00475,2026-08-24,P008,2
S00476,2026-06-14,P006,5
S00477,2026-07-18,P002,3
S00478,2026-08-13,P004,4
S00479,2026-08-11,P010,5
S00480,2026-08-26,P009,1
S00481,2026-08-17,P005,1
S00482,2026-06-24,P005,3
S00483,2026-07-14,P006,1
S00484,2026-06-24,P003,5
S00485,2026-08-24,P007,1
S00486,2026-06-19,P001,1
S00487,2026-08-07,P004,4
S00488,2026-07-24,P008,3
S00489,2026-06-21,P006,3
S00490,2026-07-12,P010,5
S00491,2026-06-11,P001,2
S00492,2026-06-21,P010,1
S00493,2026-08-26,P002,3
S00494,2026-07-27,P007,4
S00495,2026-08-17,P008,4
S00496,2026-07-05,P004,5
S00497,2026-06-15,P006,4
S00498,2026-06-15,P005,5
S00499,2026-08-02,P009,3
S00500,2026-06-06,P004,4
S00501,2026-08-16,P001,1
S00502,2026-06-27,P005,2
S00503,2026-06-18,P005,3
S00504,2026-07-12,P002,1
S00505,2026-08-03,P007,2
S00506,2026-06-17,P007,5
S00507,2026-06-30,P009,5
S00508,2026-08-25,P006,1
S00509,2026-07-21,P001,4
S00510,2026-06-03,P008,1
S00511,2026-07-11,P010,4
S00512,2026-08-13,P007,4
S00513,2026-07-08,P002,4
S00514,2026-06-03,P006,2
S00515,2026-08-19,P008,3
S00516,2026-06-12,P007,1
S00517,2026-07-02,P007,5
S00518,2026-07-22,P009,1
S00519,2026-07-21,P005,3
S00520,2026-06-29,P006,2
S00521,2026-06-10,P009,1
S00522,2026-08-07,P009,2
S00523,2026-07-15,P006,2
S00524,2026-07-01,P002,2
S00525,2026-07-03,P004,2
S00526,2026-08-17,P003,1
S00527,2026-06-23,P008,4
S00528,2026-08-12,P010,4
S00529,2026-08-27,P010,5
S00530,2026-07-12,P006,2
S00531,2026-07-27,P002,4
S00532,2026-07-27,P005,3
S00533,2026-08-15,P001,3
S00534,2026-08-04,P002,3
S00535,2026-07-30,P008,1
S00536,2026-06-08,P006,3
S00537,2026-06-10,P002,5
S00538,2026-08-16,P009,4
S00539,2026-07-30,P010,5
S00540,2026-06-06,P008,5
S00541,2026-08-23,P004,3
S00542,2026-08-17,P008,5
S00543,2026-06-20,P001,4
S00544,2026-06-14,P006,1
S00545,2026-08-04,P003,1
S00546,2026-07-02,P008,4
S00547,2026-08-07,P009,5
S00548,2026-06-21,P006,3
S00549,2026-07-07,P007,4
S00550,2026-07-14,P010,1
S00551,2026-08-20,P006,1
S00552,2026-07-13,P002,5
S00553,2026-08-26,P007,3
S00554,2026-07-03,P010,2
S00555,2026-07-13,P002,5
S00556,2026-08-24,P003,3
S00557,2026-07-10,P007,2
S00558,2026-08-16,P002,3
S00559,2026-08-11,P007,3
S00560,2026-06-17,P009,1
S00561,2026-08-22,P007,5
S00562,2026-07-17,P001,3
S00563,2026-07-10,P003,2
S00564,2026-07-14,P008,2
S00565,2026-06-29,P003,2
S00566,2026-06-10,P005,1
S00567,2026-08-04,P009,5
S00568,2026-06-05,P006,5
S00569,2026-06-17,P010,4
S00570,2026-06-20,P003,2
S00571,2026-08-28,P010,2
S00572,2026-07-27,P001,4
S00573,2026-07-17,P004,4
S00574,2026-08-18,P005,4
S00575,2026-06-30,P009,2
S00576,2026-07-10,P008,2
S00577,2026-07-18,P010,4
S00578,2026-07-30,P005,4
S00579,2026-08-04,P009,4
S00580,2026-06-21,P004,5
S00581,2026-06-18,P005,1
S00582,2026-08-22,P008,3
S00583,2026-08-10,P002,5
S00584,2026-06-16,P005,1
S00585,2026-06-21,P005,4
S00586,2026-08-05,P003,4
S00587,2026-06-12,P004,4
S00588,2026-07-15,P001,4
S00589,2026-06-07,P007,5
S00590,2026-07-18,P004,4
S00591,2026-06-11,P006,2
S00592,2026-06-04,P006,1
S00593,2026-08-23,P006,2
S00594,2026-06-18,P001,3
S00595,2026-07-31,P003,4
S00596,2026-07-28,P010,1
S00597,2026-06-11,P001,3
S00598,2026-06-28,P003,5
S00599,2026-08-17,P009,4
S00600,2026-06-15,P005,2
S00601,2026-07-09,P002,1
S00602,2026-07-01,P007,5
S00603,2026-07-29,P002,1
S00604,2026-08-03,P010,5
S00605,2026-06-03,P009,5
S00606,2026-07-01,P003,3
S00607,2026-07-25,P001,5
S00608,2026-07-16,P004,5
S00609,2026-07-24,P003,1
S00610,2026-08-07,P006,1
S00611,2026-08-07,P009,5
S00612,2026-08-04,P009,1
S00613,2026-07-20,P008,1
S00614,2026-08-21,P007,3
S00615,2026-07-03,P001,3
S00616,2026-06-09,P006,2
S00617,2026-08-24,P002,5
S00618,2026-07-13,P003,1
S00619,2026-07-16,P009,3
S00620,2026-08-22,P003,4
S00621,2026-08-29,P008,2
S00622,2026-06-18,P002,4
S00623,2026-06-05,P005,2
S00624,2026-06-06,P004,1
S00625,2026-07-11,P005,5
S00626,2026-07-21,P009,4
S00627,2026-07-03,P001,2
S00628,2026-07-07,P006,1
S00629,2026-08-23,P006,3
S00630,2026-06-16,P006,4
S00631,2026-07-22,P008,4
S00632,2026-07-14,P003,4
S00633,2026-08-28,P008,3
S00634,2026-08-06,P005,1
S00635,2026-07-25,P002,4
S00636,2026-08-17,P003,5
S00637,2026-07-08,P006,1
S00638,2026-06-11,P006,3
S00639,2026-07-10,P008,5
S00640,2026-07-25,P003,4
S00641,2026-07-15,P008,1
S00642,2026-07-16,P010,4
S00643,2026-07-06,P001,1
S00644,2026-08-25,P007,3
S00645,2026-08-05,P003,1
S00646,2026-06-19,P010,4
S00647,2026-06-05,P003,1
S00648,2026-07-01,P006,3
S00649,2026-07-20,P010,1
S00650,2026-08-17,P003,4
S00651,2026-07-18,P006,4
S00652,2026-06-10,P010,2
S00653,2026-08-07,P006,4
S00654,2026-07-11,P005,2
S00655,2026-06-15,P001,2
S00656,2026-08-03,P009,4
S00657,2026-08-11,P002,3
S00658,2026-07-04,P008,2
S00659,2026-08-18,P005,4
S00660,2026-06-26,P002,2
S00661,2026-06-10,P008,2
S00662,2026-07-27,P002,3
S00663,2026-08-25,P006,1
S00664,2026-08-10,P009,3
S00665,2026-07-09,P003,2
S00666,2026-07-17,P009,2
S00667,2026-06-16,P004,2
S00668,2026-07-01,P008,1
S00669,2026-07-17,P009,5
S00670,2026-07-18,P008,5
S00671,2026-06-17,P010,1
S00672,2026-06-09,P005,4
S00673,2026-08-01,P009,4
S00674,2026-07-23,P010,1
S00675,2026-06-17,P006,1
S00676,2026-07-28,P008,5
S00677,2026-07-15,P003,5
S00678,2026-08-21,P010,2
S00679,2026-06-17,P007,5
S00680,2026-06-08,P002,5
S00681,2026-06-20,P005,2
S00682,2026-06-21,P006,2
S00683,2026-07-15,P009,3
S00684,2026-06-11,P005,2
S00685,2026-08-21,P009,3
S00686,2026-06-17,P005,5
S00687,2026-08-08,P002,5
S00688,2026-08-22,P003,5
S00689,2026-08-14,P003,2
S00690,2026-08-24,P010,5
S00691,2026-07-14,P010,1
S00692,2026-06-04,P002,1
S00693,2026-08-22,P010,3
S00694,2026-08-23,P004,5
S00695,2026-07-24,P010,1
S00696,2026-08-03,P009,3
S00697,2026-08-22,P005,4
S00698,2026-07-02,P007,3
S00699,2026-07-29,P002,1
S00700,2026-06-21,P008,4
S00701,2026-08-01,P008,2
S00702,2026-07-14,P010,2
S00703,2026-07-11,P006,3
S00704,2026-07-22,P003,3
S00705,2026-08-05,P009,1
S00706,2026-07-11,P004,4
S00707,2026-06-16,P005,4
S00708,2026-07-02,P003,1
S00709,2026-06-07,P005,4
S00710,2026-08-18,P007,2
S00711,2026-06-21,P006,5
S00712,2026-07-11,P004,2
S00713,2026-08-03,P009,4
S00714,2026-08-03,P005,4
S00715,2026-06-03,P002,4
S00716,2026-08-04,P008,2
S00717,2026-06-28,P010,3
S00718,2026-06-07,P001,3
S00719,2026-08-03,P010,4
S00720,2026-07-07,P009,1
S00721,2026-06-14,P007,2
S00722,2026-07-04,P006,4
S00723,2026-07-17,P001,4
S00724,2026-06-07,P010,5
S00725,2026-06-25,P006,5
S00726,2026-07-07,P002,4
S00727,2026-08-04,P008,5
S00728,2026-07-06,P010,5
S00729,2026-06-16,P003,1
S00730,2026-07-21,P006,3
S00731,2026-08-11,P006,2
S00732,2026-06-26,P010,5
S00733,2026-07-22,P009,1
S00734,2026-06-06,P001,2
S00735,2026-07-13,P008,5
S00736,2026-07-29,P003,5
S00737,2026-08-05,P003,3
S00738,2026-08-18,P006,2
S00739,2026-07-21,P010,3
S00740,2026-08-15,P006,5
S00741,2026-08-05,P009,4
S00742,2026-08-12,P005,4
S00743,2026-06-03,P006,3
S00744,2026-08-26,P002,4
S00745,2026-08-14,P005,1
S00746,2026-08-16,P008,3
S00747,2026-08-23,P010,5
S00748,2026-06-30,P001,5
S00749,2026-08-01,P003,5
S00750,2026-08-20,P010,4
S00751,2026-06-19,P004,1
S00752,2026-08-13,P002,2
S00753,2026-06-03,P008,3
S00754,2026-07-24,P003,4
S00755,2026-08-28,P004,4
S00756,2026-08-04,P010,4
S00757,2026-06-08,P003,5
S00758,2026-06-27,P009,3
S00759,2026-08-24,P008,5
S00760,2026-07-19,P006,2
S00761,2026-07-29,P009,3
S00762,2026-08-09,P006,3
S00763,2026-08-18,P008,2
S00764,2026-07-02,P005,5
S00765,2026-07-09,P004,3
S00766,2026-07-07,P004,4
S00767,2026-07-11,P008,3
S00768,2026-08-11,P005,3
S00769,2026-06-16,P010,5
S00770,2026-07-19,P007,3
S00771,2026-06-19,P005,1
S00772,2026-07-07,P002,3
S00773,2026-07-27,P005,4
S00774,2026-06-28,P004,5
S00775,2026-07-05,P009,3
S00776,2026-06-18,P002,5
S00777,2026-08-15,P004,2
S00778,2026-06-07,P009,2
S00779,2026-08-21,P004,1
S00780,2026-06-13,P007,3
S00781,2026-07-31,P002,2
S00782,2026-06-01,P009,2
S00783,2026-07-23,P008,4
S00784,2026-08-23,P004,3
S00785,2026-07-12,P005,1
S00786,2026-06-12,P010,2
S00787,2026-08-08,P001,2
S00788,2026-07-24,P003,1
S00789,2026-07-21,P008,2
S00790,2026-07-08,P001,1
S00791,2026-07-09,P010,5
S00792,2026-06-14,P006,3
S00793,2026-07-29,P009,5
S00794,2026-08-03,P003,5
S00795,2026-07-30,P005,2
S00796,2026-06-15,P006,2
S00797,2026-07-29,P005,2
S00798,2026-06-02,P006,3
S00799,2026-08-12,P004,2
S00800,2026-08-18,P007,4
S00801,2026-08-05,P006,1
S00802,2026-07-22,P002,2
S00803,2026-06-18,P008,3
S00804,2026-07-02,P001,3
S00805,2026-07-20,P004,4
S00806,2026-07-05,P006,3
S00807,2026-08-14,P010,1
S00808,2026-07-04,P006,2
S00809,2026-06-08,P002,4
S00810,2026-07-10,P003,4
S00811,2026-08-27,P009,3
S00812,2026-08-28,P002,3
S00813,2026-07-18,P010,2
S00814,2026-06-29,P003,4
S00815,2026-06-20,P008,5
S00816,2026-07-18,P007,5
S00817,2026-07-31,P009,2
S00818,2026-07-02,P010,1
S00819,2026-08-07,P008,5
S00820,2026-07-17,P002,5
S00821,2026-06-15,P001,5
S00822,2026-08-04,P004,5
S00823,2026-08-08,P003,2
S00824,2026-07-12,P009,4
S00825,2026-06-15,P004,5
S00826,2026-08-02,P002,5
S00827,2026-07-28,P001,4
S00828,2026-06-17,P009,4
S00829,2026-07-29,P010,1
S00830,2026-08-11,P008,3
S00831,2026-06-03,P007,3
S00832,2026-06-01,P004,5
S00833,2026-06-10,P001,4
S00834,2026-07-15,P002,5
S00835,2026-06-08,P002,4
S00836,2026-06-05,P005,4
S00837,2026-06-24,P003,4
S00838,2026-07-18,P007,4
S00839,2026-07-19,P007,1
S00840,2026-08-27,P009,2
S00841,2026-08-23,P006,1
S00842,2026-06-23,P009,4
S00843,2026-08-07,P003,2
S00844,2026-06-01,P001,3
S00845,2026-07-30,P009,4
S00846,2026-08-08,P007,2
S00847,2026-07-02,P008,3
S00848,2026-06-20,P005,2
S00849,2026-06-15,P001,4
S00850,2026-08-18,P001,2
S00851,2026-06-27,P002,1
S00852,2026-08-16,P001,4
S00853,2026-08-16,P001,2
S00854,2026-06-06,P007,4
S00855,2026-06-30,P009,2
S00856,2026-06-08,P003,5
S00857,2026-07-08,P004,5
S00858,2026-07-11,P010,5
S00859,2026-08-26,P006,2
S00860,2026-07-09,P003,5
S00861,2026-06-29,P007,3
S00862,2026-07-06,P001,5
S00863,2026-08-15,P003,4
S00864,2026-08-11,P008,1
S00865,2026-07-15,P007,5
S00866,2026-07-11,P007,4
S00867,2026-06-20,P005,4
S00868,2026-06-24,P009,4
S00869,2026-07-01,P004,3
S00870,2026-06-19,P008,1
S00871,2026-08-11,P007,4
S00872,2026-08-11,P009,2
S00873,2026-07-20,P004,3
